OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,S_Prod_Per_Capita,M_Prod_Per_Capita,Land_Use_Efficiency,DPOP,DArea,DCrop_Area_Ha,District Yield,District Crop Area,District Prod
263,KACHERI,KOTIDO,17244,1067176155,354.20741069999997,1137.467019,7023.533691,6434.342449,528.1242294,2279091.779,600723.8929,132.1672337624681,34.83669061122709,0.0006581419251257539,243157,3641539808,53032.64945,1479,51998.816183999996,18642479
264,KOTIDO,KOTIDO,52771,597575188,367.89052319999996,1162.9966869999998,13587.990759999999,12455.59264,824.7670809,4582294.492,959201.3825,86.83357321255993,18.176676252108166,0.002273854576438672,243157,3641539808,53032.64945,1479,51998.816183999996,18642479
265,KOTIDO TOWN COUNCIL,KOTIDO,27389,23972401,369.3141771,1167.005832,1656.5318550000002,1520.322052,8.561643817,561476.4874,9991.488268000001,20.500072561977436,0.3647993087735953,0.006910162461407183,243157,3641539808,53032.64945,1479,51998.816183999996,18642479
266,NAKAPERIMORU,KOTIDO,38775,419111591,283.3245689,852.3665784,7087.823334000001,6761.488901000001,45.72171184,1915695.928,38971.65908,49.405439793681495,1.0050718009026434,0.001691154214343836,243157,3641539808,53032.64945,1479,51998.816183999996,18642479
267,PANYANGARA,KOTIDO,65704,880955930,373.8369255,1283.859882,10398.24939,10111.198129999999,172.6119139,3779939.224,221609.5114,57.529818945574085,3.372846575550956,0.0011803370674853169,243157,3641539808,53032.64945,1479,51998.816183999996,18642479
268,RENGEN,KOTIDO,41273,652744859,271.18584310000006,1047.180128,13278.52043,12964.49973,171.5857036,3515788.789,179681.139,85.18374697744288,4.353479005645337,0.002034258906357775,243157,3641539808,53032.64945,1479,51998.816183999996,18642479
591,KAABONG  EAST,KAABONG,42221,60801942,160.5885252,650.1235647999999,1021.31699,1004.647534,15.66040911,161334.8658,10181.201,3.821199540513015,0.24114068828308186,0.0016797440285706666,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
592,KAABONG TOWN COUNCIL,KAABONG,38857,13071455,212.21070299999997,1229.213444,175.08052659999998,156.5038884,18.52618562,33211.80017,22772.636430000002,0.8547185878992203,0.5860626510023934,0.0013394111566003937,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
593,KAABONG WEST,KAABONG,41454,67612362,208.04051840000002,1056.416068,967.3367266,910.2541223,56.27535518,189369.7394,59450.18942,4.568189786269118,1.434124316591885,0.0014307098553959703,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
594,KALAPATA,KAABONG,99203,223116860,209.8093519,633.4231821000001,2834.349905,2501.368282,331.2257949,524810.4582,209806.09699999998,5.290268018104291,2.114916857353104,0.0012703432205885294,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
595,KAMION,KAABONG,60070,1199409465,259.8982456,714.4757426,997.1610206,411.8070005,549.8633367000001,107027.9169,392864.0158,1.7817199417346428,6.540103475944731,8.313766480073592e-05,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
596,KAPEDO,KAABONG,33951,304557831,301.1543278,1030.064093,2365.259806,1624.56438,722.6498686000001,489244.5938,744375.6816,14.410314682925392,21.92500019439781,0.0007766209124335404,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
597,KATHILE,KAABONG,56870,228457417,312.2786152,1125.685462,6890.699234000001,5997.222911,867.8731713,1872804.465,976952.2116,32.931325215403554,17.17869195709513,0.0030161853900326644,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
598,KAWALAKOL,KAABONG,37691,1742041261,298.44995919999997,871.612802,3934.432233,2249.7770600000003,1620.876815,671445.8717,1412776.9819999998,17.814488119179646,37.48313873338462,0.00022585183951047644,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
599,LOBALANGIT,KAABONG,22907,302572789,386.5298191,985.1926986,1890.248613,879.0023395,1005.8773960000001,339760.6153,990983.0661,14.832174239315494,43.26114576766928,0.00062472525016121,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
600,LODIKO,KAABONG,31820,397700845,164.6520605,815.2557286,401.7978207,324.202666,75.24439792,53380.63695,61343.42645,1.6775812994971715,1.9278260983658075,0.00010103016519866836,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
601,LOLELIA,KAABONG,100919,1069331387,285.2134272,1273.397362,2700.676313,2039.3275829999998,656.5863967,581643.6093,836095.3853,5.76346980548757,8.284816390372477,0.00025255747150345264,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
602,LOYORO,KAABONG,16608,1330019236,284.1830582,1303.403556,1491.771813,1318.3090359999999,154.68223909999998,374641.0935,201613.3805,22.5578693099711,12.139533989643546,0.00011216167199855446,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
603,NAPORE (KARENGA),KAABONG,20394,309577387,295.7343498,765.3349254999999,1494.047587,267.559128,1221.532726,79126.42475,934881.6576,3.879887454643523,45.841014886731394,0.00048260875946988985,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
604,SIDOK,KAABONG,24092,125330583,285.3362943,1396.9914939999999,957.4939457999999,859.6490275,97.5422428,245289.0679,136265.6835,10.181349323426863,5.656055267308651,0.0007639747002533292,627057,7373606003,28121.67253,1224,27938.611294000002,12719553
765,ABIM,ABIM,14377,188613057,501.2632494,1183.0896480000001,999.3715888,593.5313150000001,259.4493301,297515.4356,306951.8167,20.693846810878487,21.350199394866802,0.0005298528133182212,90385,2771977106,5470.068394,1489,5125.917826,3394073
